avg_secchi,roaddensity_density_mperha,MIROC5.avg.ann.gdd
1.273618272,59.9015,2144.6033166435477
2.225896296,37.9678,2239.607862013677
3.751983118,33.541,2051.8290770357153
3.542339277,34.3914,2066.681663069809
3.235489855,72.6983,2388.251517815376
1.258507742,45.8752,2519.8480446360318
0.62185567,32.6897,2537.868795000861
1.302719735,50.0948,2651.23216298325
0.558478261,54.8147,2553.226248011574
1.073605522,39.2435,2498.83803337662
1.898448566,51.1229,2342.3093981176785
2.698723268,59.2544,2413.3525981461553
2.133528421,109.9689,2579.01440921217
2.622070253,54.8945,2290.460689233568
4.655283038,27.3331,2081.603872257027
2.304486007,45.4778,2128.3629348577997
2.666774458,37.7049,1981.9946558825957
3.076574074,75.4711,2111.806225968616
2.353666667,32.4903,1984.1526484854548
3.245002198,75.4711,2037.3921070509605
2.644978641,35.2217,2070.6342402248097
2.6924,35.2056,1995.314688811418
2.997572292,58.4443,2101.003022095797
3.909420905,27.6587,2070.556324133949
3.955167273,33.2254,2024.6192305361965
5.343870615,40.0909,2053.4765264703833
3.096254902,44.5934,2041.6768885532745
2.370292408,27.6805,2124.075455303079
2.334433657,29.3227,2023.8550022853856
3.482405122,29.3227,2023.8550022853856
2.02823,30.0221,2079.9497869846164
3.813155556,18.0134,2055.442198783752
2.488284444,15.8043,2079.9497869846164
3.376936073,36.0916,2058.2955532448264
2.16488,19.0518,2004.585046139179
2.95439931,10.0108,2099.3098195493926
3.332047664,32.8712,2064.5131408614325
3.59,25.4363,2058.2955532448264
2.660000296,54.815,2045.0545969206437
3.015633793,34.9738,2093.345055333642
3.757906006,53.0268,2027.351189576191
2.9446,88.1549,2065.542106911611
2.532378049,40.1803,2100.430100890697
3.315811554,43.7931,1945.416519267684
0.786390981,38.7275,2451.5693879332252
1.493440485,73.1354,2643.3925732570137
1.2991152,65.8484,2573.492806798504
1.350859353,20.2353,2657.832844972098
3.826360935,47.826,1881.9034113438256
2.778178621,76.0069,1917.2412567761085
3.612104455,66.8005,1930.0453482337991
2.220684103,92.216,2639.9711451529733
3.527896552,74.5059,2609.484801260953
