avg_secchi,roaddensity_density_mperha,IPSL.avg.ann.gdd
1.273618272,59.9015,2050.8304347337144
2.225896296,37.9678,2140.676909569878
3.751983118,33.541,1967.4412389482848
3.542339277,34.3914,1983.3651569743347
3.235489855,72.6983,2265.3470691912694
1.258507742,45.8752,2390.365072475829
0.62185567,32.6897,2407.1445461325075
1.302719735,50.0948,2513.7065378344023
0.558478261,54.8147,2425.8228941917323
1.073605522,39.2435,2372.8041464566636
1.898448566,51.1229,2224.0395291763384
2.698723268,59.2544,2293.892954690005
2.133528421,109.9689,2446.0218563163794
2.622070253,54.8945,2175.4949604057456
4.655283038,27.3331,1980.1722309042063
2.304486007,45.4778,2031.941662504049
2.666774458,37.7049,1888.0751497028257
3.076574074,75.4711,2014.262756501271
2.353666667,32.4903,1887.9232881224532
3.245002198,75.4711,1940.0288071075831
2.644978641,35.2217,1971.7197755195505
2.6924,35.2056,1903.9114847571732
2.997572292,58.4443,2005.5960531940664
3.909420905,27.6587,1976.0515576040016
3.955167273,33.2254,1933.1871523905147
5.343870615,40.0909,1964.0024750674927
3.096254902,44.5934,1945.872017127072
2.370292408,27.6805,2026.7526850097115
2.334433657,29.3227,1929.1907800093147
3.482405122,29.3227,1929.1907800093147
2.02823,30.0221,1994.972500660478
3.813155556,18.0134,1970.7978561984432
2.488284444,15.8043,1994.972500660478
3.376936073,36.0916,1975.1661516443528
2.16488,19.0518,1922.110234301562
2.95439931,10.0108,2012.5117572456445
3.332047664,32.8712,1979.8681805725405
3.59,25.4363,1975.1661516443528
2.660000296,54.815,1963.6514962114095
3.015633793,34.9738,2007.8825077887711
3.757906006,53.0268,1948.015122032556
2.9446,88.1549,1980.6664660409083
2.532378049,40.1803,2015.1313461519344
3.315811554,43.7931,1869.6735454535976
0.786390981,38.7275,2338.6577148726983
1.493440485,73.1354,2508.8024186474895
1.2991152,65.8484,2442.232029251128
1.350859353,20.2353,2521.630211608988
3.826360935,47.826,1805.22348433083
2.778178621,76.0069,1835.6446505990873
3.612104455,66.8005,1849.6075923407989
2.220684103,92.216,2502.88306042854
3.527896552,74.5059,2469.195328431752
1.534992195,126.0616,2504.273923055549
1.438565401,58.2076,2551.1373660160384
2.677137166,83.788,2380.5609216683656
2.898924675,25.6257,2498.043497057298
1.457567917,110.723,2532.5251681805316
1.476571503,89.2722,2465.828839211912
1.780411765,67.7221,2437.6397230979596
2.168862253,69.6609,2415.3614131672575
0.79807218,4.9428,2598.213810974497
2.878928462,40.9,2317.146944963326
1.067381643,18.1459,2429.4512378030922
1.208,2.9742,2390.278356479908
1.6764,31.4563,2393.4841728960073
2.742178218,31.4563,2393.4841728960073
1.603873874,47.9126,2479.0225366052123
