DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
3036300,Lake or Pond,282167.9589,5184513.077,Becker,Y,0,3.076574074,6.4,75.4711,2003.52376203913,2111.806225968616,2014.262756501271,1870.0270565326925,1850.2932424231217
3037700,Lake or Pond,278329.0952,5178589.81,Becker,Y,0,2.353666667,3.1,32.4903,1879.7259823381817,1984.1526484854548,1887.9232881224532,1748.4162087963257,1732.635114270828
3038100,Lake or Pond,283887.3869,5185648.39,Becker,Y,0,3.245002198,7.77,75.4711,1933.61290769198,2037.3921070509605,1940.0288071075831,1796.3145353105374,1776.6094572937104
3038600,Lake or Pond,284071.2023,5195154.076,Becker,Y,0,2.644978641,6.705,35.2217,1968.9255888460884,2070.6342402248097,1971.7197755195505,1827.3625985988638,1809.442369535561
3038700,Lake or Pond,282239.0987,5194814.211,Becker,Y,0,2.6924,3.3528,35.2056,1894.6097409102201,1995.314688811418,1903.9114847571732,1764.9197961251268,1744.0979617735147
3047500,Lake or Pond,278686.5035,5180620.475,Becker,Y,0,2.997572292,6.7,58.4443,1994.2877368070638,2101.003022095797,2005.5960531940664,1859.690500574388,1840.7649533594747
3050000,Lake or Pond,272108.1911,5181382.431,Becker,Y,0,3.909420905,6.7,27.6587,1964.682239925371,2070.556324133949,1976.0515576040016,1832.1080881118442,1811.4348699232173
3050300,Lake or Pond,273249.5288,5180367.732,Becker,Y,0,3.955167273,6.71,33.2254,1923.9135714731126,2024.6192305361963,1933.1871523905147,1790.0375598359547,1770.8581313421141
3057600,Lake or Pond,266513.5936,5183835.341,Becker,Y,0,5.343870615,12.115,40.0909,1952.7293259247942,2053.4765264703833,1964.0024750674927,1811.1031771555668,1793.07428920811
3058200,Lake or Pond,263241.1885,5180061.453,Becker,Y,0,3.096254902,6.705,44.5934,1936.7758698413422,2041.6768885532742,1945.8720171270722,1807.2586839768805,1787.3394873359127
3058800,Lake or Pond,260951.9244,5185361.482,Becker,Y,0,2.370292408,6.2,27.6805,2014.910337645589,2124.075455303079,2026.7526850097115,1882.5293846786426,1859.87653721468
3059500,Lake or Pond,262694.9827,5184504.816,Becker,Y,0,2.334433657,5.79,29.3227,1919.7096304983459,2023.8550022853854,1929.1907800093147,1789.9358523822368,1772.4056354273016
3060200,Lake or Pond,262768.0881,5182869.397,Becker,Y,0,3.482405122,6.4,29.3227,1919.7096304983459,2023.8550022853854,1929.1907800093147,1789.9358523822368,1772.4056354273016
4000700,Lake or Pond,386010.2932,5261705.448,Beltrami,Y,0,2.02823,5.18,30.0221,1977.6877161034126,2079.9497869846164,1994.9725006604779,1848.1590540399573,1835.2872886262978
4001100,Lake or Pond,389881.5343,5266872.332,Beltrami,Y,0,3.813155556,5.49,18.0134,1958.003212174972,2055.4421987837522,1970.7978561984432,1819.552328481081,1810.829449353347
4001500,Lake or Pond,384244.5832,5262691.001,Beltrami,Y,0,2.488284444,3.4,15.8043,1977.6877161034126,2079.9497869846164,1994.9725006604779,1848.1590540399573,1835.2872886262978
4003000,Lake or Pond,383263.2813,5253299.763,Beltrami,Y,0,3.376936073,6.4,36.0916,1954.7454075768285,2058.2955532448264,1975.1661516443526,1822.3073599566426,1810.2925436023984
4003100,Lake or Pond,383397.8927,5264660.4,Beltrami,Y,0,2.16488,2.44,19.0518,1905.557580847802,2004.585046139179,1922.110234301562,1778.5824637183553,1773.0269257525779
4003200,Lake or Pond,385138.8669,5268671.869,Beltrami,Y,0,2.95439931,5.94,10.0108,1993.637396800839,2099.3098195493926,2012.5117572456443,1861.2376558499952,1847.3213803192189
4003800,Lake or Pond,375450.7932,5257031.407,Beltrami,Y,0,3.332047664,5.5,32.8712,1959.9311966912585,2064.5131408614325,1979.8681805725405,1827.2855151474068,1814.8174851431015
4004200,Lake or Pond,382452.2371,5257389.436,Beltrami,Y,0,3.59,4.9,25.4363,1954.7454075768285,2058.2955532448264,1975.1661516443526,1822.3073599566426,1810.2925436023984
