DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
1006200,Lake or Pond,478161.8144,5178526.958,Aitkin,Y,0,1.273618272,3.333333333,59.9015,1642.7369010532216,1659.3175824343334,1660.654588507005,1657.7754160324066,1554.746897235145
1010400,Lake or Pond,458297.0716,5163659.077,Aitkin,Y,1,2.225896296,3.1,37.9678,1727.2368241440768,1737.9333759756285,1736.23700181767,1735.5751765897332,1631.3975042710351
1015700,Lake or Pond,440638.8309,5133864.451,Aitkin,Y,0,3.751983118,6.5,33.541,1551.9107861195948,1566.45667289073,1567.91503078772,1561.2566407336833,1456.3285429821717
1020400,Lake or Pond,438034.8405,5131543.537,Aitkin,Y,0,3.542339277,5.9,34.3914,1556.52042591717,1575.20339956705,1583.4573275919083,1575.9049473103867,1467.4134179932635
2000300,Lake or Pond,496849.0276,4996730.893,Anoka,Y,1,3.235489855,5.7,72.6983,1798.5228155732766,1832.1223084272851,1790.6550996621684,1813.105195174405,1682.4787751410117
2000400,Lake or Pond,495368.9805,5003213.13,Anoka,Y,1,1.258507742,5,45.8752,1918.4535008288283,1955.2687808575133,1914.7364571920516,1938.4542020954016,1811.722968419335
2000500,Lake or Pond,492958.6663,5002514.791,Anoka,Y,1,0.62185567,1.5,32.6897,1933.7763904606543,1971.2601735590865,1931.20111783047,1954.2241786318757,1828.2093552812016
2000600,Lake or Pond,494460.8242,5001105.981,Anoka,Y,1,1.302719735,5,50.0948,2030.3845326434966,2065.9204776966417,2037.4835635857735,2056.5809632871183,1923.3568749102717
2000700,Lake or Pond,491397.8256,5001777.571,Anoka,Y,1,0.558478261,1.5,54.8147,1945.4540825632632,1988.4185501794084,1946.246935787705,1969.3459719665416,1842.6123844687734
2002600,Lake or Pond,491522.891,5022022.941,Anoka,Y,1,1.073605522,3.05,39.2435,1913.4756867491549,1949.3842482843168,1920.1676944427466,1935.3977088252716,1807.85993776934
2004200,Lake or Pond,486945.324,5016905.783,Anoka,Y,1,1.898448566,10.05,51.1229,1767.7781327436817,1807.2025085210967,1766.5283896249284,1780.943687156965,1664.3790723391148
2005300,Lake or Pond,482559.9597,5011560.083,Anoka,Y,1,2.698723268,15.8,59.2544,1816.393735576265,1853.7903710593332,1817.6827345925883,1833.7584706022433,1705.3452696463316
2008400,Lake or Pond,473061.835,5006368.734,Anoka,Y,1,2.133528421,5.06,109.9689,1976.4964767566316,2006.39095910153,1978.434025851415,1992.7742547517166,1864.24393075512
2009100,Lake or Pond,473692.683,5022636.811,Anoka,Y,1,2.622070253,6.4,54.8945,1726.7115690578084,1757.5709930692951,1730.1030897948217,1738.3494130534732,1618.3846130111683
3028700,Lake or Pond,291817.4582,5194740.795,Becker,Y,0,4.655283038,9.8,27.3331,1559.1352525996217,1570.9961116354184,1583.0737082595801,1581.7022364286483,1461.2315786508616
3035900,Lake or Pond,278935.0158,5183810.998,Becker,Y,0,2.304486007,8.215,45.4778,1623.8231541053033,1623.0485219240368,1640.3251426142833,1639.8114055086783,1518.19587877582
