DOWLKNUM,UTMX,UTMY,LON,LAT
27013600,457807.3325,4971438.802,-93.53436204,44.89512235
27014100,455672.4016,4978808.145,-93.56204583,44.96132857
27015700,454890.1517,4983713.633,-93.57240302,45.0054361
27016000,456036.4519,4981877.481,-93.55769785,44.98897994
27017600,448815.4909,4986499.159,-93.6497638,45.03009717
27018100,446298.9464,4976966.187,-93.6806916,44.94410172
27018200,446751.4773,4975741.181,-93.67482673,44.93310899
27018600,441467.0802,4971497.597,-93.7413001,44.89449585
27018800,442915.8451,4987214.079,-93.72473262,45.03608164
27019101,445668.572,4990708.434,-93.69016518,45.06775142
27019102,447556.8013,4989703.924,-93.66607589,45.05885204
27019200,441575.5256,4990431.648,-93.74212217,45.06493403
27068300,480274.036,4971094.337,-93.24981637,44.89299835
27071100,469335.8538,4979676.276,-93.38885959,44.96986448
27073400,466418.1019,4979524.679,-93.42584925,44.96836787
29002500,365394.731,5204181.422,-94.76980163,46.97747805
29004500,366550.0103,5205435.954,-94.75498859,46.98899574
29007500,366686.8893,5224841.821,-94.75892535,47.16356766
29009300,358083.3179,5198956.483,-94.86424873,46.92895876
29010103,357213.3235,5210928.864,-94.8794421,47.03645118
29013000,360455.1879,5224657.8,-94.84104627,47.16062098
29015700,345319.7333,5185858.651,-95.02736886,46.80831366
29016100,347737.15870000003,5194997.873,-94.99875189,46.89106421
29021700,348823.5182,5228178.639,-94.99560008,47.18971567
29024100,349713.6153,5245479.257,-94.98968176,47.34550283
29025000,338695.4017,5203542.845,-95.12039383,46.96577351
29030900,336301.737,5244849.983,-95.16688834,47.33662567
30000900,493232.0582,5028964.684,-93.08649634,45.41416939
30002200,488125.7097,5046730.016,-93.15218693,45.5740091
30004300,485448.7306,5044651.955,-93.1864344,45.55525364
30004400,481799.8202,5053622.779,-93.23351944,45.635913360000004
30007200,473012.8948,5035701.332,-93.34527009,45.4743184
30008000,474179.1928,5039191.81,-93.33053257,45.50578033
30008300,476291.0688,5044683.191,-93.303764760000007,45.55528306
30011400,462025.5171,5038711.519,-93.48607003,45.50090121
30013800,463352.1049,5054196.138,-93.470252060000007,45.64034494
30014300,464501.5541,5055854.436,-93.45562423,45.6553304
31019000,476043.1676,5239325.143,-93.3169353,47.30696056
31019100,475734.9307,5238414.911,-93.32096346,47.29875881
31037000,459656.0002,5233546.116,-93.53319783,47.25415674
31037200,460063.4624,5232616.422,-93.52772982,47.2458163
31037300,458525.5407,5232579.362,-93.54804787,47.24538744
31055400,449140.6203,5222846.492,-93.67094822,47.15715254
31057600,450645.7713,5240809.853,-93.65307635,47.31889792
31082400,427002.9179,5270350.243,-93.97076898,47.58245646
31082600,424231.5259,5274125.994,-94.00827169,47.6161069
31092100,403240.0646,5272901.907,-94.28727567,47.60230072
31092800,397044.2697,5260943.002,-94.36687962,47.49377194
31093400,394654.1683,5277474.805,-94.40256698,47.64209584
32002000,330437.9296,4822561.825,-95.09863826,43.53674561
32004500,322845.3594,4845812.801,-95.20016801,43.74418215
32005300,322421.8307,4850450.315,-95.20695836,43.78580542
32005702,318573.5347,4846494.339,-95.25341197,43.74928062
33000100,493455.6079,5109486.656,-93.08472989,46.1389247
33000900,485891.8121,5095686.201,-93.18224823,46.01460362
33001500,486364.1991,5082708.805,-93.17577632,45.89781181
33002800,476827.2225,5091724.46,-93.29915023,45.97870035
33003200,471588.5988,5066096.801,-93.36526359,45.74784473
33003600,475123.2219,5075249.995,-93.32029393,45.83036463
33004000,468170.6092,5084680.848,-93.41043261,45.9149593
34003200,359420.3805,4993686.854,-94.78623021,45.08267728
34006200,356269.3698,5014908.33,-94.8323628,45.27297489
34007600,353179.2346,4993604.079,-94.86546588,45.08066499
34011500,344790.422,5009877.457,-94.97704753,45.2252754
34011600,343572.316,5010503.949,-94.99275129,45.2306418
34011700,343655.7922,5009573.065,-94.99139598,45.222286
34011900,347375.7174,5008251.812,-94.94363692,45.21121565
34018600,340668.6108,5002489.357,-95.0271565,45.15789153
34019200,340163.6761,5007526.113,-95.03519094,45.20308779
34019600,340511.7303,5003815.869,-95.02957506,45.16978941
34020400,337838.7254,5011143.133,-95.06595379,45.23509427
34020600,339783.6144,5019417.286,-95.04386259,45.30997204
34020800,337301.6185,5019501.14,-95.07553196,45.3101555
34021700,338585.3168,5013040.328,-95.05706438,45.25233255
34022400,335557.2878,5022013.706,-95.09860396,45.33235054
34024500,333118.2222,5005479.628,-95.12415468,45.1830454
34024600,334980.1001,5004891.79,-95.10027732,45.17819566
34028300,331527.1545,5001887.935,-95.14318,45.15035849
38026000,637560.5355,5271908.94,-91.1704754,47.58599732
38039300,629792.7656,5275713.149,-91.27260888,47.62181227
38040600,628590.6963,5245011.233,-91.2975473,47.34591891
38053900,613954.9401,5254711.015,-91.48874836,47.43588253
38065600,602947.4552,5263705.476,-91.63258487,47.51862281
38066400,602690.8698,5284619.213,-91.63109043,47.70678737
38068600,609012.7341,5277133.822,-91.54871299,47.6384216
38074400,594384.5494,5226696.487,-91.75415533,47.18698728
40000200,456956.1441,4897204.745,-93.53893673,44.2268002
40003100,451494.0362,4897656.66,-93.60736407,44.23052552
40003300,448915.3369,4912955.992,-93.64114826,44.36808112
40005100,446861.8396,4897534.563,-93.66534971,44.22910325
40006300,442012.6682,4902673.112,-93.72663155,44.2749927
40009201,439258.8941,4902672.794,-93.76113574,44.27476513
40009202,434161.9817,4902634.203,-93.82499304,44.27397434
40010400,434928.8365,4904298.126,-93.81559203,44.28902222
40011700,430413.1383,4900376.834,-93.87166288,44.25330449
40012400,426829.2869,4906709.285,-93.9174363,44.30995729
41002101,253265.9569,4916765.493,-96.09634051,44.36218967
41003400,247511.7916,4920178.964,-96.17009949,44.39089456
41004300,241464.6749,4909381.575,-96.2405481,44.29171072
41008900,232570.0368,4922309.079,-96.35848456,44.4046815
43009800,385658.1651,4961639.42,-94.44570999,44.79900549
44001400,299802.1232,5234429.728,-95.64487904,47.23281372
45000100,286472.812,5374824.545,-95.89010101,48.49023509
46002400,381613.0899,4835394.751,-94.46830817,43.66212868
46002500,381488.8933,4834149.727,-94.46957465,43.65090232
46003000,381702.7238,4832944.864,-94.46666,43.64009126
46003100,381504.7219,4831004.322,-94.46868855,43.62259267
46003400,381093.7568,4829307.407,-94.47340754,43.60725297
46010900,363100.15870000003,4837403.671,-94.69833427,43.67702985
47002600,397866.2809,4995498.84,-94.29824835,45.10557959
47003200,397975.2524,4993364.933,-94.29642887,45.0863913
47004600,391692.6105,4991589.911,-94.37585655,45.06948349
47004901,387490.0177,4981829.497,-94.42704249,44.98099313
47005000,386200.9021,4990291.544,-94.44530294,45.05693791
47006400,388068.5447,4985112.44,-94.42043671,45.01062832
47009500,386631.837,5014501.227,-94.44533141,45.27486529
47013800,376468.983,4993804.625,-94.56972368,45.08691932
47017700,368685.5883,4996004.87,-94.66916424,45.10531503
47018300,370021.685,4993414.21,-94.65151577,45.0822511
48000200,450184.7693,5121183.206,-93.6461671,46.24239952
48001200,444369.8722,5106296.166,-93.71983774,46.10797461
48001400,440235.6818,5110611.134,-93.77387181,46.14645701
49001600,427286.0121,5109597.31,-93.94137711,46.13607563
49014000,372932.1521,5074678.899,-94.63555172,45.81396629
51001800,293475.8214,4883690.943,-95.57926687,44.07727971
51002100,291105.347,4859036.975,-95.59914798,43.85486383
51002400,286296.2514,4869764.462,-95.66322224,43.94997014
51006300,278703.832,4892734.895,-95.76734352,44.15429852
51008200,264417.8409,4894357.579,-95.94649172,44.16442371
56038300,288040.9302,5150577.124,-95.76114355,46.47542385
58000700,544630.3255,5100010.75,-92.42307818,46.05221508
58002400,538305.577,5102157.433,-92.50466006,46.07191847
58002900,543222.6926,5102524.139,-92.44104506,46.07492552
58004800,531169.5162,5137166.212,-92.59462291,46.38735161
58005800,516257.8345,5129483.222,-92.78882226,46.31872983
58006200,519178.3673,5139222.266,-92.75048825,46.40630182
58006700,518683.0705,5136156.703,-92.75705448,46.37872672
58008100,517185.959,5140120.847,-92.77637634,46.41444233
58011900,504340.4653,5077660.977,-92.94409341,45.85250013
58013000,499035.5942,5114971.194,-93.01249729,46.18831673
58013800,496338.0632,5117197.223,-93.04747059,46.20834188
60003200,299423.8349,5276728.811,-95.66903288,47.61289903
61000600,326348.9978,5037747.006,-95.22157518,45.47164521
61004100,316412.2831,5035955.235,-95.34792497,45.45298838
61004300,317757.5669,5034810.398,-95.33031011,45.44304424
61007200,315160.4219,5038506.573,-95.36488122,45.47560376
61018000,293305.369,5043718.178,-95.64641141,45.51633555
62000200,498754.0283,4995658.276,-93.01584031,45.11439312
62000600,495486.0615,4985661.028,-93.05729668,45.02438645
62000700,494430.8053,4985183.351,-93.07068604,45.02007895
62001200,495060.6552,4982295.043,-93.06266343,44.99408333
62001600,499630.106,4979969.67,-93.00469099,44.97316752
62002400,496749.9185,4992090.752,-93.04129583,45.08227272
62003400,498599.2902,4990702.299,-93.01779367,45.06978021
62004600,492242.8232,4993756.966,-93.09858912,45.097236530000004
62004700,488133.1684,4972324.317,-93.15031492,44.90424505
62005500,488925.9806,4980691.442,-93.14045608,44.97957862
62005600,490348.6549,4986864.481,-93.12253021,45.03516843
62005700,487930.1432,4986932.059,-93.15323634,45.03573969
62006100,489174.3725,4993988.452,-93.13759222,45.09927999
62007800,486581.735,4987764.975,-93.17037762,45.0432132
62008300,482385.7753,4987894.364,-93.22365975,45.04428602
65001300,373598.5006,4970558.902,-94.60035368,44.87723731
66001500,470440.0236,4911175.468,-93.37090492,44.3532484
66001800,472459.7578,4908332.502,-93.3454124,44.32773321
66002700,472757.3213,4918054.919,-93.34218967,44.41527303
66003900,468431.2484,4913346.36,-93.39624123,44.37270771
66004400,459775.2682,4898291.313,-93.50372432,44.23674341
66004700,464438.385,4908886.66,-93.44605236,44.33237362
66005200,465804.6552,4904676.735,-93.42863963,44.2945383
66005500,464843.6461,4913075.283,-93.44125213,44.37010222
66006200,460101.5291,4922468.8,-93.5014911,44.45442205
69000400,590212.2492,5302852.881,-91.79360433,47.87267245
69004400,585278.6068,5257057.132,-91.86850742,47.46137082
69005400,584051.296,5293984.102,-91.8776987,47.79372745
69014300,579822.5965,5236829.54,-91.944523040000007,47.28008184
69025400,568794.6222,5292460.098,-92.08162612,47.78182787
69037100,562252.7743,5193688.56,-92.18277595,46.89381635
69048900,552569.0639,5194141.779,-92.30983635,46.89873141
69074100,525223.2732,5314557.952,-92.66197147,47.98382706
69074200,525535.0028,5321038.101,-92.65740795,48.04211663
69081000,518967.3812,5337829.601,-92.74477467,48.19341724
69084100,507013.0184,5323188.277,-92.90587332,48.06193421
69084800,507254.1685,5181978.873,-92.90495196,46.79131824
69092500,502128.6589,5275146.122,-92.97166614,47.62971333
70002200,469003.5153,4948892.56,-93.39119485,44.69273556
70002900,465648.1492,4941618.001,-93.43305276,44.62709558
70005000,467196.8223,4942383.644,-93.41357905,44.63406046
70005200,462264.6288,4942151.172,-93.47574454,44.6317256
70006900,463511.23,4944353.954,-93.46018539,44.65161987
70007200,464590.3616,4951202.657,-93.44705002,44.71332699
70007600,465950.0664,4955479.221,-93.4301694,44.75189093
70009100,458446.6306,4937560.236,-93.52350622,44.59018658
70009800,455285.7389,4939342.274,-93.56348159,44.60603925
71001600,454934.5412,5033813.618,-93.57637997,45.45639434
71005500,451028.3816,5037227.586,-93.6266767,45.48685924
71008100,440642.8916,5021749.972,-93.75770089,45.34674693
71008200,440918.5712,5020853.573,-93.75407499,45.33870209
71014500,427975.6715,5039498.233,-93.92197723,45.50529582
71014700,427063.9777,5037878.424,-93.93340528,45.49062285
72004200,404121.4397,4935805.295,-94.20748146,44.56920407
73003700,397751.0421,5028102.949,-94.30642358,45.3989737
73005500,395420.6511,5032339.061,-94.33709021,45.43674928
73011800,384321.7904,5056749.218,-94.48472037,45.6546441
73015100,379861.9824,5021715.424,-94.53335975,45.33865555
73018300,374294.2786,5066770.606,-94.61596905,45.74306413
73019900,371265.9455,5051139.097,-94.65074174,45.60186853
73020002,366081.3706,5021658.678,-94.70915611,45.33564878
73020800,365617.5324,5056363.265,-94.72457933,45.64780027
73023300,367371.0706,5060719.997,-94.70327436,45.68733475
73023700,358075.5021,5036781.418,-94.81563647,45.47013032
73024100,358911.5067,5054941.152,-94.81018573,45.63367505
73025500,352524.5737,5068186.059,-94.89611036,45.75149744
74000100,495161.3889,4881325.707,-93.06043774,44.08509235
74002300,471951.8764,4859878.704,-93.34920419,43.8914761
76003300,321388.7163,5021417.658,-95.27906889,45.32352518
76005700,311548.879,5019145.604,-95.40365205,45.300518
76008600,298915.6092,5029546.378,-95.56885873,45.39054191
76016900,258159.5169,5032939.511,-96.09048564,45.40815196
77000700,369664.2247,5077002.678,-94.67822504,45.83426304
77000900,363651.1458,5076821.345,-94.7555632,45.83146852
77001900,370335.5102,5070130.664,-94.66773886,45.77256328
77002300,364105.101,5082770.501,-94.75140105,45.88507892
77004600,364295.4341,5104601.914,-94.75514644,46.08151529
77006100,365446.4368,5111077.219,-94.74210171,46.13999476
77021500,335804.7553,5085466.099,-95.11682474,45.90315385
80003000,344445.0274,5184769.275,-95.03845584,46.7983129
80003400,340885.3217,5183617.465,-95.08467229,46.78711444
81000300,466518.6766,4861188.131,-93.41692913,43.90303872
81005500,450897.104,4892756.681,-93.61437937,44.18637269
82000100,517759.3326,4975105.897,-92.77494864,44.92916217
82005400,510979.9687,5014818.419,-92.85998713,45.28678053
82011800,503151.7742,4986796.474,-92.95998653,45.03461496
82014000,502452.0114,5002855.874,-92.96879172,45.17918054
82015300,504536.1865,4997779.697,-92.94231126,45.13347611
82015900,504004.2571,5013346.026,-92.94895088,45.27360122
82016300,499873.7606,5011883.272,-93.00160902,45.26044563
82016800,498433.5726,5012328.165,-93.01996672,45.2644486
83004300,367799.0462,4870370.473,-94.6482113,43.97458451
86001100,441248.7811,4999981.788,-93.74739321,45.1508677
86003200,438242.2662,4981056.407,-93.78330656,44.98026407
86005100,432228.4967,5007507.297,-93.86315402,45.21779337
86006300,437826.6272,5001839.143,-93.79115482,45.16729224
86008600,430378.3985,4987987.722,-93.88399628,45.0419241
86009000,429774.1546,5001449.496,-93.89355574,45.16302946
86010600,421553.9449,4991319.828,-93.99654655,45.07099247
86010700,428253.6801,4999328.292,-93.91259509,45.14378448
86011400,423537.2926,4991665.498,-93.97140729,45.07432074
86012000,421757.783,5006583.341,-93.99634741,45.20839193
86018400,417040.1266,4989350.763,-94.05355322,45.05275558
86018800,418843.3074,4985726.651,-94.03007195,45.02034602
86019900,415820.5497,4991539.516,-94.06940585,45.072311
86020800,415596.1099,5009133.617,-94.07523023,45.23063301
86021700,412825.3431,5004158.195,-94.1096497,45.18551695
86022300,419446.5461,5017682.85,-94.02757477,45.30802778
86022700,416475.8313,5013416.87,-94.0647454,45.26928713
86022900,419483.8395,5013854.564,-94.02647737,45.27357741
86023000,419456.5978,5012804.493,-94.02665421,45.26412359
86023300,418531.5413,5018734.562,-94.03941808,45.31738753
86025000,411303.6736,4992031.741,-94.12686395,45.07618938
86027100,403149.945,5008791.761,-94.23368218,45.22595393
86028100,406219.0131,5018936.764,-94.19651403,45.31766978
86028200,401877.7758,5017725.164,-94.251649080000007,45.30617265
87001600,303108.0041,4939148.777,-95.48002721,44.57875309
