DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha
10001900,Lake or Pond,449417.4961,4965063.183,Carver,Y,1,2.168862253,7,69.6609
10002900,Lake or Pond,441319.1837,4959435.693,Carver,Y,0,0.79807218,3.585,4.9428
10004100,Lake or Pond,447386.2309,4970187.927,Carver,Y,1,2.878928462,8.83,40.9
10004200,Lake or Pond,442272.4131,4970141.587,Carver,Y,1,1.067381643,5.4,18.1459
10004300,Lake or Pond,443758.2643,4968752.578,Carver,Y,1,1.208,2.75,2.9742
10004400,Lake or Pond,445713.504,4968365.055,Carver,Y,1,1.6764,2.1336,31.4563
10004401,Lake or Pond,445173.1132,4968516.596,Carver,N,1,2.742178218,7.15,31.4563
10004402,Lake or Pond,446245.3759,4968215.903,Carver,N,1,1.603873874,4.3,47.9126
10004500,Lake or Pond,447920.1069,4968362.151,Carver,Y,1,2.200882353,7.14,64.3282
10004700,Lake or Pond,446838.2232,4967089.288,Carver,Y,1,1.989560976,3.95,68.87
10004800,Lake or Pond,446667.9857,4965550.873,Carver,Y,1,1.275933409,7.6,45.0392
10005200,Lake or Pond,441004.181,4965322.65,Carver,Y,1,1.690663725,6,35.0387
10005300,Lake or Pond,444817.34620000003,4964659.238,Carver,Y,1,2.575627976,6.1,29.2657
10005600,Lake or Pond,446398.2862,4970816.85,Carver,Y,1,2.66085913,5.4,22.3999
10005900,Lake or Pond,438075.9935,4968663.038,Carver,Y,1,2.542670505,7.435,77.877
10008400,Lake or Pond,436404.8982,4966513.274,Carver,Y,1,1.625412903,4.2,77.0026
10008800,Lake or Pond,430824.8051,4962821.211,Carver,Y,1,1.483132222,4.8,38.0517
10009500,Lake or Pond,435332.1947,4975508.943,Carver,Y,1,0.656095041,3.05,24.8976
10012100,Lake or Pond,426089.4332,4962103.69,Carver,Y,1,1.13098961,4.6,25.3988
10021700,Lake or Pond,452122.0698,4964493.94,Carver,Y,1,0.502546584,2.2,83.5571
10021800,Lake or Pond,452183.4779,4963730.543,Carver,Y,1,0.952101064,3.5,134.1676
11004300,Lake or Pond,426418.8324,5184036.604,Cass,Y,1,3.132666667,4.2672,42.0876
11005900,Lake or Pond,424640.5596,5191221.724,Cass,Y,1,3.907021424,6.4,42.9057
11014700,Lake or Pond,409709.2635,5254913.136,Cass,Y,0,3.323991379,7.3152,15.8709
11017400,Lake or Pond,406494.4613,5204100.535,Cass,Y,1,4.401081928,6.7,58.7442
11019000,Lake or Pond,408541.7348,5213440.252,Cass,Y,1,2.322061538,3.2004,16.4794
11020300,Lake or Pond,393301.8298,5224079.882,Cass,Y,1,2.810240606,4.370832,31.4444
