"Train.fileName"	"meanAUC"	"meanSens"	"meanSpec"	"meanAcc"	"SDM"
"1"	"EWM.train.data_ACCESS.WtrTemp.csv"	0.829336148135523	0.878367607205484	0.577864329763064	0.721623343527013	"GAM.minK"
"2"	"EWM.train.data_GFDL.WtrTemp.csv"	0.828561216049184	0.881635581061693	0.582700421940928	0.721559633027523	"GAM.minK"
"3"	"EWM.train.data_IPSL.WtrTemp.csv"	0.834739236532637	0.875099633349275	0.609380071405388	0.731766055045872	"GAM.minK"
"4"	"EWM.train.data_MIROC5.WtrTemp.csv"	0.836960204558229	0.878367607205484	0.598214865303473	0.732250254841998	"GAM.minK"
"5"	"EWM.train.data_MRI.WtrTemp.csv"	0.839838942836418	0.875099633349275	0.619928594612139	0.738710499490316	"GAM.minK"
"6"	"EWM.train.data_ACCESS.WtrTemp.csv"	0.823303617565645	0.85238322971465	0.619441739694904	0.748012232415902	"GAM.bestK"
"7"	"EWM.train.data_GFDL.WtrTemp.csv"	0.821636327681222	0.83444922684521	0.611002921129503	0.732798165137615	"GAM.bestK"
"8"	"EWM.train.data_IPSL.WtrTemp.csv"	0.825378661055068	0.837717200701419	0.641901979876663	0.752663098878695	"GAM.bestK"
"9"	"EWM.train.data_MIROC5.WtrTemp.csv"	0.831607221937389	0.85238322971465	0.635572865952613	0.755861365953109	"GAM.bestK"
"10"	"EWM.train.data_MRI.WtrTemp.csv"	0.833565103593072	0.845847282002232	0.655923401493022	0.761901121304791	"GAM.bestK"
"11"	"EWM.train.data_ACCESS.WtrTemp.csv"	0.823303617565645	0.826279292204687	0.574764686790003	0.701822120285423	"RF"
"12"	"EWM.train.data_GFDL.WtrTemp.csv"	0.821636327681222	0.816913757372868	0.580038948393379	0.700917431192661	"RF"
"13"	"EWM.train.data_IPSL.WtrTemp.csv"	0.825378661055068	0.816475370636059	0.605355404089581	0.715080275229358	"RF"
"14"	"EWM.train.data_MIROC5.WtrTemp.csv"	0.831607221937389	0.838912800892715	0.567380720545278	0.703631498470948	"RF"
"15"	"EWM.train.data_MRI.WtrTemp.csv"	0.833565103593072	0.837637494021999	0.598653034728984	0.718278542303772	"RF"
