"Train.fileName"	"meanAUC"	"meanSens"	"meanSpec"	"meanAcc"	"SDM"
"1"	"EWM.train.data_ACCESS.WtrTemp.csv"	0.88063511075433	0.849762353182892	0.793690604578738	0.819985007496252	"GAM.minK"
"2"	"EWM.train.data_GFDL.WtrTemp.csv"	0.880586197650518	0.846429019849559	0.790181832648913	0.816521739130435	"GAM.minK"
"3"	"EWM.train.data_IPSL.WtrTemp.csv"	0.883595958088382	0.849701857115137	0.78700722947431	0.816536731634183	"GAM.minK"
"4"	"EWM.train.data_MIROC5.WtrTemp.csv"	0.885138626426709	0.850202604755219	0.793501076031	0.82	"GAM.minK"
"5"	"EWM.train.data_MRI.WtrTemp.csv"	0.885307098759384	0.839586914586401	0.793563732672604	0.814812593703148	"GAM.minK"
"6"	"EWM.train.data_ACCESS.WtrTemp.csv"	0.890068236585756	0.842479996347407	0.799660753832469	0.820014992503748	"GAM.bestK"
"7"	"EWM.train.data_GFDL.WtrTemp.csv"	0.891588371058414	0.842419500279652	0.799850282380206	0.820014992503748	"GAM.bestK"
"8"	"EWM.train.data_IPSL.WtrTemp.csv"	0.89342613594611	0.842873078108413	0.799731340958856	0.82	"GAM.bestK"
"9"	"EWM.train.data_MIROC5.WtrTemp.csv"	0.894713691857449	0.838706411441747	0.803050584340943	0.820014992503748	"GAM.bestK"
"10"	"EWM.train.data_MRI.WtrTemp.csv"	0.895422041309604	0.83576615986942	0.803240112888681	0.818290854572714	"GAM.bestK"
"11"	"EWM.train.data_ACCESS.WtrTemp.csv"	0.890114528369727	0.838768863969156	0.791839793419824	0.814917541229385	"RF"
"12"	"EWM.train.data_GFDL.WtrTemp.csv"	0.887149562487079	0.839142521381658	0.816116364806664	0.828650674662669	"RF"
"13"	"EWM.train.data_IPSL.WtrTemp.csv"	0.892504487914204	0.843226189206849	0.806241042980717	0.819955022488756	"RF"
"14"	"EWM.train.data_MIROC5.WtrTemp.csv"	0.884238963596183	0.843059262520546	0.804386445709837	0.821874062968516	"RF"
"15"	"EWM.train.data_MRI.WtrTemp.csv"	0.894244854899157	0.829034781055027	0.793336645139924	0.811319340329835	"RF"
